t_0,t_1,t_2
-1.0,55.43736591140788,12.26311859660845
-1.0,50.82696710202467,11.509079064405626
-1.0,-1.0,11.006386042937095
-1.0,-1.0,10.671257361958055
-1.0,-1.0,10.447838241305362
-1.0,-1.0,10.298892160870253
-1.0,54.469770673875026,10.199594773913503
-1.0,51.7984865275543,6.9916806622630645
-1.0,-1.0,9.525482404291893
-1.0,-1.0,12.31274120214593
-1.0,-1.0,19.599999999999994
-1.0,41.971000000000004,29.599999999999994
-1.0,36.1156,39.599999999999994
-1.0,-1.0,45.461
-1.0,-1.0,49.167285
-1.0,-1.0,-1.0
-1.0,-1.0,0.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,94.03374099999999,-1.0
-1.0,98.75714099999999,-1.0
-1.0,103.48054099999999,0.0
-1.0,108.20394099999999,0.0
-1.0,112.92734099999998,-1.0
-1.0,117.650741,-1.0
-1.0,122.374141,-1.0
-1.0,127.09754099999998,-1.0
-1.0,131.820941,-1.0
-1.0,136.54434099999997,-1.0
-1.0,141.267741,-1.0
-1.0,145.99114099999997,-1.0
-1.0,149.96754099999998,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,171.654267
-1.0,-1.0,169.903603
-1.0,-1.0,165.86914700000003
-1.0,-1.0,161.83469100000002
-1.0,-1.0,157.80023500000001
-1.0,-1.0,156.365779
-1.0,-1.0,155.36431
-1.0,-1.0,154.362841
-1.0,-1.0,153.216787
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,80.16264199999995
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,221.41282999999996,-1.0
-1.0,226.836928,-1.0
-1.0,227.761026,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,101.04973000000001
-1.0,-1.0,105.04974100000001
-1.0,-1.0,109.04975200000001
-1.0,-1.0,110.44976300000002
-1.0,-1.0,109.44829400000002
-1.0,-1.0,108.44682500000002
-1.0,-1.0,107.445356
-1.0,-1.0,106.44388699999999
-1.0,-1.0,105.44241799999998
-1.0,-1.0,104.44094899999996
-1.0,-1.0,103.43947999999995
-1.0,-1.0,99.11963466666663
-1.0,-1.0,90.29978933333331
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,272.287441,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,74.68063
-1.0,-1.0,78.73026899999999
-1.0,-1.0,87.279908
-1.0,-1.0,93.22954700000001
-1.0,-1.0,96.57918600000002
-1.0,-1.0,97.32882500000002
-1.0,-1.0,96.32735600000002
-1.0,-1.0,95.32588700000002
-1.0,-1.0,94.32441800000001
-1.0,-1.0,93.322949
-1.0,-1.0,92.32147999999998
-1.0,-1.0,91.32001099999997
-1.0,-1.0,90.31854199999995
-1.0,-1.0,89.31707299999994
-1.0,-1.0,88.17101899999992
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,53.698356999999866
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,41.00418899999988
-1.0,-1.0,43.86106999999991
-1.0,-1.0,49.462481999999966
-1.0,-1.0,52.218608
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,33.257712
-1.0,-1.0,33.532158
-1.0,-1.0,35.160572
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,48.917782
-1.0,-1.0,52.917792999999996
-1.0,-1.0,56.917804
-1.0,-1.0,58.317815
-1.0,-1.0,57.31634600000001
-1.0,-1.0,56.31487700000002
-1.0,-1.0,55.313408000000024
-1.0,-1.0,54.311939000000024
-1.0,-1.0,53.31047000000001
-1.0,-1.0,52.309000999999995
-1.0,-1.0,51.30753199999998
-1.0,-1.0,50.306062999999966
-1.0,-1.0,49.30459399999995
-1.0,-1.0,48.30312499999994
-1.0,-1.0,47.30165599999992
-1.0,-1.0,42.981810666666604
-1.0,-1.0,34.161965333333285
-1.0,-1.0,27.940185378637693
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,22.54602447959345
-1.0,-1.0,26.598321
-1.0,-1.0,35.14796
-1.0,-1.0,41.097599
-1.0,-1.0,44.447238
-1.0,-1.0,45.196877
-1.0,-1.0,44.195408
-1.0,-1.0,43.19393900000001
