t_0,t_1,t_2
-1.0,52.40437891140789,18.30926853454261
-1.0,44.760993102024685,21.342255534542602
-1.0,-1.0,24.375242534542593
-1.0,37.27422148325827,27.408229534542585
-1.0,37.430835673875066,30.441216534542576
-1.0,41.43395790966123,29.62509429875641
-1.0,45.4370801454474,21.708972062970247
-1.0,42.34020238123358,17.19556655145604
-1.0,-1.0,16.714255465184532
-1.0,36.146446852805916,23.332944378913027
-1.0,32.41856066218912,34.67404052842766
-1.0,28.690674471572336,42.88032552842766
-1.0,29.128989471572332,46.58661052842766
-1.0,-1.0,50.292895528427664
-1.0,-1.0,-1.0
-1.0,38.24393447157233,-1.0
-1.0,-1.0,0.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,79.310341,-1.0
-1.0,82.564988,-1.0
-1.0,84.25540099999999,0.0
-1.0,85.945814,-1.0
-1.0,87.63622699999999,-1.0
-1.0,89.32664,-1.0
-1.0,91.017053,-1.0
-1.0,92.70746600000001,-1.0
-1.0,97.43086600000001,-1.0
-1.0,102.154266,-1.0
-1.0,106.877666,-1.0
-1.0,111.601066,-1.0
-1.0,116.324466,-1.0
-1.0,120.30086600000001,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,181.320942
-1.0,-1.0,181.32094199999997
-1.0,-1.0,181.32094199999997
-1.0,-1.0,181.32094199999997
-1.0,-1.0,181.32094199999997
-1.0,-1.0,181.32094199999997
-1.0,-1.0,181.32094199999997
-1.0,-1.0,181.320942
-1.0,-1.0,181.320942
-1.0,-1.0,181.320942
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,213.08942999999996,-1.0
-1.0,219.42442799999998,-1.0
-1.0,221.64852599999998,-1.0
-1.0,216.772624,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,219.65031699999997
-1.0,17.345727701798463,223.21516799999998
-1.0,-1.0,223.89680266666664
