Wall time,Step,Value
1714367275.8258715,0,-19530.0
1714367275.8258715,0,-19530.0
1714367275.8258715,0,-19530.0
1714367358.3617337,1,-17720.0
1714367358.3617337,1,-17720.0
1714367358.3617337,1,-17720.0
1714367447.4315293,2,24240.0
1714367447.4315293,2,24240.0
1714367447.4315293,2,24240.0
1714367539.9289677,3,31950.0
1714367539.9289677,3,31950.0
1714367539.9289677,3,31950.0
1714367635.7358806,4,29060.0
1714367635.7358806,4,29060.0
1714367635.7358806,4,29060.0
1714367727.336464,5,38350.0
1714367727.336464,5,38350.0
1714367727.336464,5,38350.0
1714367818.6051602,6,28265.0
1714367818.6051602,6,28265.0
1714367818.6051602,6,28265.0
1714367909.2556288,7,22140.0
1714367909.2556288,7,22140.0
1714367909.2556288,7,22140.0
1714367998.5932462,8,22715.0
1714367998.5932462,8,22715.0
1714367998.5932462,8,22715.0
1714368088.62403,9,27165.0
1714368088.62403,9,27165.0
1714368088.62403,9,27165.0
